game,battle_name,num_of_games,agent1_name,round_number,agent1_mean_action_duration_sum,agent1_mean_accumulated_reward_sum,agent2_name,agent2_mean_action_duration_sum,agent2_mean_accumulated_reward_sum,mean_run_duration
TicTacToe,Random_VS_DeepQLearning,10000,Random,0,8.368492126464844e-05,1.0,DeepQLearning,1.7367985248565674,0.0,1.736882209777832
TicTacToe,Random_VS_DeepQLearning,10000,Random,100,3.8623809814453125e-05,54.0,DeepQLearning,0.012811660766601562,-35.0,3.072410821914673
TicTacToe,Random_VS_DeepQLearning,10000,Random,200,3.695487976074219e-05,113.0,DeepQLearning,0.01695418357849121,-69.0,4.453436374664307
TicTacToe,Random_VS_DeepQLearning,10000,Random,300,4.601478576660156e-05,164.0,DeepQLearning,0.009426116943359375,-108.0,5.789250373840332
TicTacToe,Random_VS_DeepQLearning,10000,Random,400,4.3392181396484375e-05,220.0,DeepQLearning,0.013447999954223633,-143.0,7.125796794891357
TicTacToe,Random_VS_DeepQLearning,10000,Random,500,5.53131103515625e-05,266.0,DeepQLearning,0.013066291809082031,-189.0,8.44117784500122
TicTacToe,Random_VS_DeepQLearning,10000,Random,600,4.506111145019531e-05,311.0,DeepQLearning,0.010003805160522461,-237.0,9.696834564208984
TicTacToe,Random_VS_DeepQLearning,10000,Random,700,3.7670135498046875e-05,348.0,DeepQLearning,0.01285099983215332,-295.0,10.905261993408203
TicTacToe,Random_VS_DeepQLearning,10000,Random,800,3.337860107421875e-05,397.0,DeepQLearning,0.008562803268432617,-339.0,12.193909883499146
TicTacToe,Random_VS_DeepQLearning,10000,Random,900,2.7894973754882812e-05,450.0,DeepQLearning,0.010771036148071289,-381.0,13.402166604995728
TicTacToe,Random_VS_DeepQLearning,10000,Random,1000,5.6743621826171875e-05,502.0,DeepQLearning,0.01367497444152832,-428.0,14.648754596710205
TicTacToe,Random_VS_DeepQLearning,10000,Random,1100,4.9114227294921875e-05,559.0,DeepQLearning,0.016101837158203125,-468.0,15.94567322731018
TicTacToe,Random_VS_DeepQLearning,10000,Random,1200,4.315376281738281e-05,609.0,DeepQLearning,0.02134394645690918,-517.0,17.224852561950684
TicTacToe,Random_VS_DeepQLearning,10000,Random,1300,4.76837158203125e-05,661.0,DeepQLearning,0.015756845474243164,-564.0,18.466970443725586
TicTacToe,Random_VS_DeepQLearning,10000,Random,1400,6.079673767089844e-05,712.0,DeepQLearning,0.013354063034057617,-609.0,19.713902711868286
TicTacToe,Random_VS_DeepQLearning,10000,Random,1500,4.267692565917969e-05,759.0,DeepQLearning,0.008563995361328125,-657.0,21.0252902507782
